Dystans (m),Wysokość (m)
51126.483705909326,435.3317565917969
51315.14231737024,433.0608215332031
51503.800928831166,438.7613220214844
51692.45954029208,429.5206909179688
51881.118151753006,425.3103332519531
52069.77676321392,420.5111389160156
52258.435374674846,415.7912292480469
52447.09398613576,412.1592712402344
52635.752597596686,406.9834899902344
52824.4112090576,411.5428466796875
53013.069820518525,405.5976257324219
53201.72843197944,402.5462646484375
53390.387043440365,414.5899047851562
53579.04565490128,419.0424194335938
53767.704266362205,423.9728393554688
53956.36287782312,425.844970703125
54145.021489284045,415.9072570800781
54333.68010074496,404.5392150878906
54522.338712205885,400.0352783203125
54710.9973236668,398.0671997070312
54899.655935127725,387.9460144042969
55088.31454658864,378.1135559082031
55276.973158049565,362.8157043457031
55465.63176951048,357.0077819824219
55654.290380971404,358.5944519042969
55842.94899243232,347.6779174804688
56031.607603893244,348.4421997070312
56220.26621535416,346.09033203125
56408.924826815084,343.5147399902344
56597.58343827601,343.6179809570312
56786.242049736924,349.0450744628906
56974.90066119785,361.5525207519531
57163.559272658764,364.6324157714844
57352.21788411969,374.4223022460938
57540.876495580604,377.9708862304688
57729.53510704153,369.3955383300781
57918.19371850244,351.612548828125
58106.85232996337,346.01611328125
58295.51094142428,354.1183166503906
58484.16955288521,369.7056579589844
58672.82816434612,383.6585693359375
58861.48677580705,388.0244140625
59050.14538726796,394.1314697265625
59238.80399872889,393.24365234375
59427.4626101898,376.0017700195312
59616.12122165073,359.4270324707031
59804.77983311164,345.1038208007812
59993.43844457257,340.1133422851562
60182.09705603348,339.2003784179688
60370.755667494406,340
60559.41427895532,341
60748.072890416246,341.4601440429688
60936.73150187716,341.5222473144531
61125.390113338086,343.0625915527344
61314.048724799,346.2489929199219
61502.707336259926,346.5929870605469
61691.36594772084,346.9365539550781
61880.024559181766,345.98193359375
62068.68317064268,346.3475952148438
62257.341782103606,344.9380187988281
62446.00039356452,346.3430786132812
62634.659005025445,348.422119140625
62823.31761648636,349.7791442871094
63011.976227947285,355.3553771972656
63200.6348394082,356.0544738769531
63389.293450869125,353.6396484375
63577.95206233004,355.1331787109375
63766.610673790965,352.0639343261719
63955.26928525188,350.9512939453125
64143.927896712805,358.7534790039062
64332.58650817372,361.1517944335938
64521.245119634645,358.3049926757812
64709.90373109557,360.3670654296875
64898.562342556485,356.188232421875
65087.22095401741,344.3001403808594
65275.879565478324,343.2942199707031
65464.53817693925,341.0833129882812
65653.19678840016,342.9409790039062
65841.85539986109,343.04541015625
66030.51401132201,345.6640625
66219.17262278292,346.3388671875
66407.83123424384,348.7056884765625
66596.48984570477,351.2607421875
66785.14845716569,352.9656677246094
66973.8070686266,356.5486145019531
67162.46568008752,356.9320068359375
67351.12429154845,356.7627868652344
67539.78290300937,362.3724975585938
67728.44151447028,365.1904907226562
67917.1001259312,367.3375854492188
68105.75873739213,369.857666015625
68294.41734885305,371.9503173828125
68483.07596031396,371.0180053710938
68671.73457177488,375.3163452148438
68860.3931832358,374.4837646484375
69049.05179469673,373.2109680175781
69237.71040615764,377.027099609375
69426.36901761856,379.1565856933594
69615.02762907949,379.0455627441406
69803.68624054041,381.3663024902344
69992.34485200132,383.9990844726562
70181.00346346224,386.6302795410156
70369.66207492317,390.2198791503906
70558.32068638409,394.7982177734375
70746.979297845,398.3728332519531
70935.63790930592,403.9173583984375
71124.29652076685,406.9828491210938
71312.95513222777,409.9700317382812
71501.61374368868,412.3611450195312
71690.2723551496,412.5938110351562
71878.93096661053,414.654541015625
72067.58957807145,413.4908447265625
72256.24818953236,412.5250549316406
72444.90680099328,414.1603088378906
72633.5654124542,411.9950256347656
72822.22402391513,412.6124877929688
73010.88263537605,416.1743469238281
73199.54124683696,413.6051330566406
73388.19985829788,409.7850036621094
73576.85846975881,409.6143188476562
73765.51708121973,408.3632507324219
73954.17569268064,412.8909912109375
74142.83430414156,413.5437622070312
74331.49291560249,408.5003051757812
74520.15152706341,406.1486511230469
74708.81013852432,401.5512390136719
74897.46874998524,403.7405090332031
75086.12736144617,401.8593139648438
75274.78597290709,400.0263061523438
75463.444584368,400.4527587890625
75652.10319582892,406.6600036621094
75840.76180728985,402.990966796875
76029.42041875077,398.4969482421875
76218.07903021168,395.5392150878906
76406.7376416726,393.1410827636719
76595.39625313353,393.6148376464844
76784.05486459445,391.5489196777344
76972.71347605536,388.809814453125
77161.37208751628,383.4307556152344
77350.0306989772,378.8504333496094
77538.68931043813,372.4251098632812
77727.34792189904,369.2117919921875
77916.00653335996,363.1633911132812
78104.66514482089,372.2221069335938
78293.32375628181,378.2405700683594
78481.98236774272,385.9515686035156
78670.64097920364,400.7738647460938
78859.29959066457,400.9466247558594
79047.95820212549,394.562744140625
79236.6168135864,391.4847412109375
