Distance (m),Elevation (m)
254.28013690131957,12.92103576660156
255.7415169984536,12.91871070861816
257.2028970955876,12.91638565063477
258.6642771927216,12.91406059265137
260.12565728985567,12.91173648834229
261.58703738698966,12.90941143035889
263.0484174841237,12.90708637237549
264.5097975812577,12.90476131439209
265.9711776783917,12.90243721008301
267.43255777552577,12.90011215209961
268.89393787265976,12.89778709411621
270.3553179697938,12.89546203613281
271.8166980669278,12.89313793182373
273.2780781640618,12.89081287384033
274.73945826119586,12.88848781585693
276.20083835832986,12.88616371154785
277.6622184554639,12.88383865356445
279.1235985525979,12.88151359558105
280.58497864973197,12.87918949127197
282.04635874686596,12.87686443328857
283.50773884399996,12.87453937530518
284.969118941134,12.87221527099609
286.430499038268,12.8698902130127
287.89187913540206,12.8675651550293
289.35325923253606,12.86524105072021
